Q4,Q5_1,Q5_2,Q7,Q8,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q29_1,Q29_2,Q29_3,Q30
03/31/22,Water/Sewer,"GGCC Utility, Inc. (Docket Number W-755)",Yes,Both water and wastewater customers,269,1,191,1,,,,,,6,0,4,0,,,,,,1133.33,0,557.8,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"TOTAL ENVIRONMENTAL SOLUTIONS, INC. (Docket Number W-1146)",Yes,Both water and wastewater customers,2120,2,0,2,,,,,,112,5,0,0,,,,,,5035,143,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,29,7,0,0,,,,,,17,5,0,0,,,,,,12,4,0,0,,,,,,5,1,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,Sandler Utilities at Mill Run LLC (Docket Number W-1130),Yes,Wastewater only,,,,,,,420,2,,,,,,,,151,1,,,,,,,,60454.47,4589.62,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"AQUA North Carolina, Inc. (Docket Number W-218)",Yes,Both water and wastewater customers,82032,3631,21758,322,,,,,,1992,17,175,3,,,,,,860047,9387,90999,7483,,,,,,940,3,33,1,,,,,,941,3,33,1,,,,,,357701,0,13294,0,,,,,,98,3,10,0,,,,,,68,0,3,0,,,,,,21,0,1,0,,,,,,58,3,7,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,None
03/31/22,Water/Sewer,"LAKE JUNALUSKA ASSEMBLY, INC. (Docket Number W-1274)",Yes,Both water and wastewater customers,815,74,807,45,,,,,,9,0,9,0,,,,,,2675,0,0,0,,,,,,5,0,0,0,,,,,,4,0,0,0,,,,,,1743,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
03/31/22,Water/Sewer,Fearrington Utilities (Docket Number W-661),Yes,Wastewater only,,,,,,,1424,2,,,,,,,,89,0,,,,,,,,21545.02,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"904 Georgetown Treatment Plant, LLC (Docket Number W-1141)",No,Wastewater only,,,,,,,,,795,,,,,,,,,22,,,,,,,,,8132,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,"We are a very small system - neighborhoods in a resort area and second home=- when residents  come for vacation , we can get to them and get more current in billing and collections. "
03/31/22,Electric,Western Carolina University (Docket Number E-35),Yes,,,,,,,,3664,197,,,,,,,,133,9,,,,,,,,25825.87,5211.08,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,16,0,,,,,,,,15,0,,,,,,,,13,0,,,,,,,,1,0,,Yes,Yes,Yes,
03/31/22,Electric,"Dominion Energy North Carolina; Virginia Electric & Power Co., dba (Docket Number E-22)",Yes,,,,,,,,106249,18720,,,,,,,,18720,867,,,,,,,,10912901.99,421883.77,,,,,,,,7017,120,,,,,,,,7017,120,,,,,,,,9481734.53,185307.54,,,,,,,,258,28,,,,,,,,136,15,,,,,,,,112,9,,,,,,,,127,17,,Yes,Yes,Yes,
03/31/22,Water/Sewer,Corriher Water Service (Docket Number W-233),No,Water only,,,,,,,,,888,,,,,,,,,130,,,,,,,,,3269.3,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"KRJ, Inc. (Docket Number W-1075)",Yes,Both water and wastewater customers,605,0,410,0,,,,,,10,0,10,0,,,,,,2058,0,1122,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,4,0,4,0,,,,,,0,0,0,0,,,,,,4,0,4,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,No,
03/31/22,Water/Sewer,MECO Utilities Inc. (Docket Number W-1166),Yes,Both water and wastewater customers,274,0,274,0,,,,,,12,0,12,0,,,,,,1642,0,1140,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,4,0,4,0,,,,,,1,0,1,0,,,,,,4,0,4,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,No,
03/31/22,Water/Sewer,"PLURIS, LLC (Docket Number W-1282)",Yes,Wastewater only,,,,,,,5867,183,,,,,,,,183,13,,,,,,,,26607.53,4368.76,,,,,,,,6,0,,,,,,,,0,0,,,,,,,,945.17,0,,,,,,,,11,1,,,,,,,,10,1,,,,,,,,10,1,,,,,,,,5,0,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"PLURIS WEBB CREEK, LLC (Docket Number W-1314)",Yes,Wastewater only,,,,,,,1445,9,,,,,,,,121,0,,,,,,,,10621.98,0,,,,,,,,13,0,,,,,,,,0,0,,,,,,,,1063.2,0,,,,,,,,9,0,,,,,,,,9,0,,,,,,,,7,0,,,,,,,,11,0,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"Pluris Hampstead, LLC (Docket Number W-1305)",Yes,Wastewater only,,,,,,,880,76,,,,,,,,25,5,,,,,,,,2066.01,3796.33,,,,,,,,1,0,,,,,,,,0,0,,,,,,,,31.96,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,1,0,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"MEADOWLANDS DEVELOPMENT, LLC (Docket Number W-1259)",Yes,Wastewater only,,,,,,,586,0,,,,,,,,5,0,,,,,,,,444.03,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
02/28/22,Water/Sewer,FAIRFIELD WATER COMPANY (Docket Number W-1226),Yes,Both water and wastewater customers,11,1,4,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"Beacon's Reach Master Association, Inc. (Docket Number W-966)",No,Both water and wastewater customers,,,,,517,517,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,MOUNTAIN AIR UTILITIES CORPORATION (Docket Number W-1148),Yes,Both water and wastewater customers,438,46,437,23,,,,,,17,16,20,6,,,,,,5365.26,740.39,6142.34,1345.93,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,1,0,1,0,,,,,,0,0,0,0,,,,,,1,0,1,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,Cross-State Development Corporation (Docket Number W-408),Yes,Water only,,,,,,,168,0,,,,,,,,20,0,,,,,,,,4584.41,0,,,,,,,,4,0,,,,,,,,2,0,,,,,,,,4172.03,0,,,,,,,,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,4,0,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"Carolina Water Service, Inc. of North Carolina (Docket Number W-354)",Yes,Both water and wastewater customers,34008,562,20088,673,,,,,,3132,53,1305,21,,,,,,693494.17,23986.83,453168.96,36561.68,,,,,,473,6,0,0,,,,,,391,5,0,0,,,,,,215753.18,14340.38,0,0,,,,,,41,0,35,0,,,,,,23,0,13,0,,,,,,10,0,6,0,,,,,,153,0,111,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
02/28/22,Water/Sewer,"AQUA North Carolina, Inc. (Docket Number W-218)",Yes,Both water and wastewater customers,81908,3655,21702,323,,,,,,2401,25,195,9,,,,,,942038,24596,101723,12139,,,,,,937,6,46,3,,,,,,938,6,46,3,,,,,,356223,0,18203,0,,,,,,150,0,5,0,,,,,,82,0,3,0,,,,,,28,0,0,0,,,,,,93,0,3,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,NONE
02/28/22,Electric,Western Carolina University (Docket Number E-35),Yes,,,,,,,,3657,197,,,,,,,,203,4,,,,,,,,16226.36,1574.6,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,18,0,,,,,,,,16,0,,,,,,,,16,0,,,,,,,,2,0,,Yes,Yes,Yes,
02/28/22,Water/Sewer,"Beacon's Reach Master Association, Inc. (Docket Number W-966)",No,Both water and wastewater customers,,,,,517,517,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
02/28/22,Water/Sewer,"OLD NORTH UTILITY SERVICES, INC. (Docket Number W-1279)",No,Both water and wastewater customers,,,,,2,1,,,,,,,,1,0,,,,,,,,8926.13,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
02/28/22,Water/Sewer,"CLARKE UTILITIES, Inc. (Docket Number W-1205)",Yes,Both water and wastewater customers,608,0,313,2,,,,,,8,0,4,0,,,,,,418.56,0,398.85,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
02/28/22,Water/Sewer,Corriher Water Service (Docket Number W-233),No,Water only,,,,,,,,,888,,,,,,,,,157,,,,,,,,,5174.49,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
02/28/22,Water/Sewer,Scientific Water and Sewerage Corporation (Docket Number W-176),Yes,Both water and wastewater customers,1454,3,1577,3,,,,,,519,3,582,3,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,94,1,94,1,,,,,,75,1,75,1,,,,,,75,1,75,1,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
02/28/22,Natural Gas,"Public Service Company of North Carolina, Inc. (Docket Number G-5)",Yes,,,,,,,,578375,56204,,,,,,,,49921,3100,,,,,,,,7660000,1490000,,,,,,,,11090,206,,,,,,,,9941,145,,,,,,,,1770000,93000,,,,,,,,2378,158,,,,,,,,1804,95,,,,,,,,965,40,,,,,,,,94,6,,Yes,Yes,Yes,"Payment arrangements available to include Equal Payment Plan (Budget Bill), short-term and deferred payment plans
Data provided represents 02/01/2022 through 02/28/2022"
02/28/22,Electric,"Duke Energy Progress, LLC (Docket Number E-2)",Yes,,,,,,,,1282379,218603,,,,,,,,185058,21633,,,,,,,,69984617,18749615,,,,,,,,43107,257,,,,,,,,43107,257,,,,,,,,25800731,290317,,,,,,,,9,12,,,,,,,,7,2,,,,,,,,5,1,,,,,,,,0,0,,Yes,Yes,Yes,
